date,open,high,low,close,adj_close,volume,dividend,split,DIFF,DEA,MACD,MACDS
2018/11/13,129.911,131.68733333333333,128.541,129.75166666666667,118.09166666666667,10277579.0,0.0,1.0,0.7426729946014063,1.0984771198308596,-0.35580412522945326,-0.7116082504589065
2018/11/14,130.67433333333332,131.35666666666665,127.825,128.632,117.16466666666666,11315299.0,0.015333333333333334,1.0,0.4213116353164139,0.9630440229279704,-0.5417323876115565,-1.083464775223113
2018/11/15,128.148,130.39533333333333,126.70966666666666,129.751,118.21166666666666,11613192.966666667,0.117,1.0,0.25399647763939015,0.8212345138702544,-0.5672380362308642,-1.1344760724617284
2018/11/16,129.17766666666665,131.27066666666667,128.36933333333334,130.3816666666667,118.74266666666668,10548169.933333334,0.0,1.0,0.17032414828020137,0.6910524407522438,-0.5207282924720424,-1.0414565849440849
2018/11/19,130.18,130.963,127.20599999999999,128.131,116.747,11227250.066666666,0.0,1.0,-0.07671247232826772,0.5374994581361415,-0.6142119304644093,-1.2284238609288185
2018/11/2,131.04066666666665,131.9163333333333,128.33333333333334,129.54166666666666,117.45333333333333,12766776.733333332,0.0,1.0,-0.15685365213266778,0.39862883608237965,-0.5554824882150474,-1.1109649764300948
2018/11/20,125.96666666666667,127.931,123.72333333333333,125.55,114.52366666666667,13819138.333333334,0.0,1.0,-0.5362783715182502,0.21164739456225368,-0.7479257660805039,-1.4958515321610077
2018/11/21,126.287,127.501,124.941,125.50633333333333,114.539,8737629.7,0.04533333333333334,1.0,-0.8309203971924148,0.0031338362113199625,-0.8340542334037349,-1.6681084668074697
2018/11/23,124.65066666666667,125.75633333333333,123.80300000000001,124.51566666666666,113.70933333333332,4359635.2,0.0,1.0,-1.1313236511476816,-0.22375766126048038,-0.9075659898872013,-1.8151319797744025
2018/11/26,125.64866666666667,127.146,124.747,126.39766666666667,115.47,9267321.833333334,0.030000000000000002,1.0,-1.2036586945468457,-0.41973786791775347,-0.7839208266290922,-1.5678416532581845
2018/11/27,125.843,127.506,125.02966666666666,127.217,116.25133333333333,9106052.2,0.0,1.0,-1.1812546171201888,-0.5720412177582406,-0.6092133993619482,-1.2184267987238964
2018/11/28,128.31,131.047,127.21233333333333,130.804,119.55833333333334,11481494.366666667,0.034333333333333334,1.0,-0.864097523784551,-0.6304524789635026,-0.2336450448210483,-0.4672900896420966
2018/11/29,130.53133333333332,131.869,129.47899999999998,130.727,119.56166666666667,9088752.133333333,0.03966666666666666,1.0,-0.6119078065126473,-0.6267435444733316,0.01483573796068427,0.02967147592136854
2018/11/30,130.48933333333332,132.43866666666665,129.56633333333335,131.959,120.815,14103937.766666668,0.076,1.0,-0.30907075957296115,-0.5632089874932575,0.2541382279202964,0.5082764558405928
2018/11/5,129.77733333333333,131.317,128.72166666666666,130.58700000000002,118.55766666666666,9927792.9,0.0,1.0,-0.17773038650543072,-0.48611326729569215,0.30838288079026144,0.6167657615805229
2018/11/6,130.50733333333335,132.06666666666666,129.96266666666668,131.42866666666666,119.30199999999999,7942334.233333333,0.01,1.0,-0.0056614668294798776,-0.3900229072024497,0.3843614403729698,0.7687228807459396
2018/11/7,132.56066666666666,134.785,131.4523333333333,134.42966666666666,122.002,10353129.766666668,0.0,1.0,0.3686108943619786,-0.23829614688956402,0.6069070412515426,1.2138140825030852
2018/11/8,134.182,135.42633333333333,133.30766666666668,134.49333333333334,122.22,8354173.066666666,0.14833333333333334,1.0,0.6627223542390936,-0.05809244666383248,0.7208148009029262,1.4416296018058523
2018/11/9,134.17466666666667,134.87066666666666,132.22533333333334,133.29266666666666,121.17133333333332,9310621.633333333,0.0,1.0,0.7898194920812216,0.11148994108517835,0.6783295509960432,1.3566591019920864
2018/12/10,125.39966666666666,126.71166666666666,122.834,125.904,115.35733333333333,11439163.233333332,0.0,1.0,0.29098692305441887,0.14738933747902644,0.14359758557539243,0.28719517115078486
2018/12/11,127.69200000000001,128.45133333333334,124.77600000000001,125.70133333333334,115.18166666666666,10461960.966666667,0.0,1.0,-0.11931954657879373,0.0940475606674624,-0.21336710724625613,-0.42673421449251225
2018/12/12,127.31133333333334,128.54666666666668,126.18266666666666,126.59666666666666,116.03066666666668,10217968.733333332,0.0,1.0,-0.3680023603379823,0.0016375764663734554,-0.36963993680435575,-0.7392798736087115
2018/12/13,127.062,128.07233333333335,125.91966666666667,127.01833333333335,116.385,8986106.1,0.0,1.0,-0.5250083366222213,-0.1036916061513455,-0.42131673047087587,-0.8426334609417517
2018/12/14,125.618,126.68166666666666,123.563,124.29833333333333,113.94933333333333,12486806.833333334,0.018333333333333333,1.0,-0.8590157728947929,-0.25475643950003496,-0.6042593333947579,-1.2085186667895158
2018/12/17,123.446,124.75,120.89966666666666,121.68866666666666,111.50533333333333,13954206.133333333,0.0,1.0,-1.3190916946898028,-0.4676234905379885,-0.8514682041518142,-1.7029364083036285
2018/12/18,122.817,124.09433333333332,120.94966666666666,122.12766666666667,111.89000000000001,12112964.966666667,0.0,1.0,-1.6294977109714779,-0.6999983346246864,-0.9294993763467915,-1.858998752693583
2018/12/19,122.30766666666666,124.46933333333332,119.33333333333333,120.36633333333333,110.339,14740395.5,0.0,1.0,-1.994628756461239,-0.958924418991997,-1.035704337469242,-2.071408674938484
2018/12/20,119.65633333333334,120.90966666666667,116.7,118.11566666666666,108.29533333333333,16905686.766666666,0.0,1.0,-2.437509637231912,-1.25464146263998,-1.182868174591932,-2.365736349183864
2018/12/21,117.876,120.26299999999999,115.315,115.86666666666666,106.29666666666667,26467081.2,0.0,1.0,-2.9361256020837914,-1.5909382905287424,-1.345187311555049,-2.690374623110098
2018/12/24,114.893,116.03433333333334,112.43433333333333,112.70933333333333,103.39566666666666,9181879.1,0.0,1.0,-3.5451860615118846,-1.9817878447253707,-1.563398216786514,-3.126796433573028
2018/12/26,113.32600000000001,118.48533333333333,112.15033333333332,118.44433333333333,108.61033333333333,12713287.766666668,0.0,1.0,-3.524476323895584,-2.2903255405594134,-1.2341507833361707,-2.4683015666723414
2018/12/27,116.91366666666666,120.00299999999999,115.22366666666667,119.95833333333333,110.06833333333334,12066070.466666667,0.0,1.0,-3.3473108448640687,-2.5017226014203446,-0.8455882434437241,-1.6911764868874481
2018/12/28,120.617,121.523,118.85266666666666,119.598,109.72633333333333,9732749.866666667,0.0,1.0,-3.199104529252125,-2.6411989869867005,-0.5579055422654244,-1.1158110845308489
2018/12/3,134.00933333333333,134.90099999999998,131.91566666666668,133.1663333333333,121.83533333333334,11486993.766666668,0.0,1.0,-1.9641572692987666,-2.5057906434491137,0.5416333741503472,1.0832667483006944
2018/12/31,120.48700000000001,121.67333333333335,119.61999999999999,121.077,111.10066666666667,8459468.466666667,0.0,1.0,-1.9386137016889933,-2.3923552550970895,0.4537415534080962,0.9074831068161924
2018/12/4,132.66233333333332,133.56066666666666,128.62566666666666,128.95866666666666,118.02833333333334,12658296.866666667,0.0,1.0,-1.2677715291359704,-2.1674385099048656,0.8996669807688953,1.7993339615377906
2018/12/6,126.64699999999999,128.98666666666665,124.61166666666666,128.70633333333333,117.84899999999999,14097625.433333334,0.017333333333333333,1.0,-0.7478645484086428,-1.883523717605621,1.1356591691969782,2.2713183383939564
2018/12/7,128.39533333333333,129.63766666666666,124.98166666666665,125.608,115.10233333333333,11658534.733333332,0.055,1.0,-0.5791678402595863,-1.622652542136414,1.0434847018768276,2.0869694037536553
2018/2/1,132.00533333333334,133.79033333333334,131.18466666666666,132.78233333333336,118.993,10238790.6,0.0,1.0,0.13191363961324498,-1.271739305786482,1.403652945399727,2.807305890799454
2018/2/12,124.14200000000001,126.16466666666666,123.09133333333334,124.97233333333334,112.03933333333333,11980530.833333334,0.0,1.0,0.06450552681145894,-1.0044903392668938,1.0689958660783527,2.1379917321567055
2018/2/13,124.32333333333332,125.88266666666667,123.569,125.22066666666666,112.23366666666668,9237437.7,0.0,1.0,0.03076786357952699,-0.7974386986976096,0.8282065622771366,1.6564131245542733
2018/2/14,124.41766666666666,127.07766666666666,123.99600000000001,126.607,113.51633333333334,10306777.833333334,0.07133333333333333,1.0,0.11457528377962944,-0.6150359022021619,0.7296111859817913,1.4592223719635826
2018/2/15,127.691,128.913,126.163,128.375,115.11966666666667,11179622.966666667,0.08966666666666669,1.0,0.31996770377938333,-0.4280351810058528,0.7480028847852361,1.4960057695704723
2018/2/16,128.152,129.81866666666667,127.53433333333332,128.50033333333334,115.24866666666667,10149990.266666668,0.0,1.0,0.487239436024808,-0.24498025759972064,0.7322196936245287,1.4644393872490573
2018/2/2,131.85933333333335,132.84433333333334,129.32833333333332,129.741,116.34566666666666,12941379.733333332,0.0,1.0,0.7117107616375193,-0.05364205375227263,0.7653528153897919,1.5307056307795839
2018/2/20,127.779,129.06366666666665,126.67566666666667,127.45766666666667,114.30133333333333,10730179.366666667,0.0,1.0,0.69732169657658,0.09655069631349791,0.6007710002630822,1.2015420005261643
2018/2/21,127.57033333333334,129.18666666666667,126.39666666666668,126.557,113.48966666666666,10742075.866666667,0.0,1.0,0.6062534733722202,0.1984912517252424,0.40776222164697784,0.8155244432939557
2018/2/22,126.94766666666666,128.335,126.17533333333333,127.07,113.95333333333333,8830175.2,0.024666666666666667,1.0,0.5689179312790884,0.2725765876360116,0.2963413436430768,0.5926826872861536
2018/2/23,127.75666666666666,129.14766666666665,127.048,128.943,115.62133333333333,8548425.433333334,0.0,1.0,0.682596148371033,0.35458049978301587,0.32801564858801713,0.6560312971760343
2018/2/26,129.58233333333334,131.272,129.01033333333334,130.86666666666667,117.357,9718751.0,0.028,1.0,0.9173362958737954,0.46713165900117176,0.45020463687262363,0.9004092737452473
2018/2/27,131.02133333333333,131.76833333333335,129.18466666666666,129.355,115.97166666666666,10532278.133333333,0.0,1.0,0.9702067480478576,0.5677466768105089,0.4024600712373486,0.8049201424746972
2018/2/28,129.87966666666665,130.62466666666668,127.38766666666668,127.46366666666667,114.282,10706758.8,0.058666666666666666,1.0,0.849697386288156,0.6241368187060383,0.22556056758211773,0.45112113516423546
2018/2/5,128.47,130.30800000000002,120.69266666666667,123.81500000000001,110.96133333333334,16250332.2,0.0,1.0,0.4545363301749461,0.5902167209998199,-0.13568039082487382,-0.27136078164974764
2018/2/6,121.50366666666667,127.10066666666667,120.29133333333334,126.56633333333335,113.38033333333333,19860157.1,0.01,1.0,0.35923689308519613,0.5440207554168952,-0.18478386233169908,-0.36956772466339816
2018/2/7,126.14266666666666,128.92133333333334,125.42666666666668,126.52866666666667,113.43633333333334,12386771.133333333,0.0,1.0,0.27747347588095295,0.49071129950970677,-0.21323782362875382,-0.42647564725750764
2018/2/8,126.53966666666666,126.945,121.10366666666667,121.23,108.71266666666666,14514509.733333332,0.107,1.0,-0.21243393238501085,0.35008225313076324,-0.5625161855157741,-1.1250323710315482
2018/2/9,122.44533333333334,124.26333333333334,118.557,123.025,110.367,16967121.033333335,0.021,1.0,-0.4506527402015337,0.18993525446430384,-0.6405879946658375,-1.281175989331675
2018/3/1,127.64733333333334,128.70633333333333,124.56,125.67599999999999,112.69033333333333,13315858.5,0.0,1.0,-0.4206799800554961,0.06781220756034385,-0.48849218761583996,-0.9769843752316799
2018/3/12,129.83733333333333,130.61700000000002,128.33066666666667,128.84866666666667,115.56633333333333,8686493.266666668,0.0,1.0,-0.13931275604680593,0.026387214838913896,-0.16569997088571983,-0.33139994177143967
